year,semester,period,note
1950,,,
1950,,,
1951,,,
1951,,,
1952,,,
1952,,,
1953,,,
1953,,,
1954,,,"declaration of intent for creating a European joint observatory in the southern emisphere"
1954,,,
1955,,,
1955,,,"site testing in South Africa"
1956,,,
1956,,,
1957,,,
1957,,,
1958,,,
1958,,,
1959,,,
1959,,,
year,semester,period,note
1960,,,
1960,,,
1961,,,
1961,,,
1962,,,"ESO founded"
1962,,,"site testing in Chile"
1963,,,"Chile selected as site"
1963,,,"ESO Chile Agreement"
1964,,,
1964,,,
1965,,,"La Silla construction start"
1965,,,
1966,,,
1966,,,"1m ESO"
1967,,,
1967,,,
1968,A,1,"1p5 ESO"
1968,B,2,
1969,A,3,
1969,B,4,
year,semester,period,note
1970,A,5,
1970,B,6,
1971,A,7,
1971,B,8,"1m Schmidt"
1972,A,9,
1972,B,10,
1973,A,11,
1973,B,12,
1974,A,13,
1974,B,14,
1975,A,15,
1975,B,16,
1976,A,17,3p6
1976,B,18,
1977,A,19,
1977,B,20,
1978,A,21,
1978,B,22,
1979,A,23,
1979,B,24,"1p5 Danish"
year,semester,period,note
1980,A,25,
1980,B,26,
1981,A,27,
1981,B,28,
1982,A,29,
1982,B,30,
1983,A,31,
1983,B,32,
1984,A,33,2p2
1984,B,34,
1985,A,35,
1985,B,36,
1986,A,37,
1986,B,38,
1987,A,39,
1987,B,40,
1988,A,41,
1988,B,42,
1989,A,43,NTT
1989,B,44,
year,semester,period,note
1990,A,45,
1990,B,46,
1991,A,47,
1991,B,48,
1992,A,49,
1992,B,50,
1993,A,51,"WEB avaible"
1993,B,52,
1994,A,53,
1994,B,54,
1995,A,55,"ESO Archive"
1995,B,56,
1996,A,57,
1996,B,58,
1997,A,59,
1997,B,60,
1998,A,61,"VLT 1st light"
1998,B,62,
1999,A,63,
1999,B,64,
year,semester,period,note
2000,A,65,
2000,B,66,
2001,A,67,
2001,B,68,VLTI
2002,A,69,
2002,B,70,
2003,A,71,HARPS
2003,B,72,
2004,A,73,
2004,B,74,
2005,A,75,
2005,B,76,APEX
2006,A,77,
2006,B,78,
2007,A,79,
2007,B,80,
2008,A,81,
2008,B,82,
2009,A,83,
2009,B,84,VISTA
year,semester,period,note
2010,A,85,
2010,B,86,
2011,A,87,VST
2011,B,88,ALMA
2012,A,89,
2012,B,90,
2013,A,91,
2013,B,92,
2014,A,93,
2014,B,94,
2015,A,95,"Phase3 for Lps"
2015,B,96,
2016,A,97,
2016,B,98,
2017,A,99,
2017,B,100,"ELT start"
2018,A,101,
2018,B,102,
2019,A,103,
2019,B,104,
year,semester,period,note
2020,A,105,
2020,B,106,
2021,A,107,
2021,B,108,
2022,A,109,
2022,B,110,
2023,A,111,
2023,B,112,
2024,A,113,
2024,B,114,
2025,A,115,
2025,B,116,
2026,A,117,
2026,B,118,
2027,A,119,
2027,B,120,
2028,A,121,
2028,B,122,
2029,A,123,"ELT 1st light"
2029,B,124,
